id,category_id,dept_id,value,period,create_time
1,1,101,51.5,202101,2026-02-21 17:35:39
2,2,102,53.0,202202,2026-02-21 17:35:39
3,3,103,54.5,202303,2026-02-21 17:35:39
4,4,104,56.0,202404,2026-02-21 17:35:39
5,5,101,57.5,202505,2026-02-21 17:35:39
6,6,102,59.0,202106,2026-02-21 17:35:39
7,7,103,57.0,202207,2026-02-21 17:35:39
8,8,104,58.5,202308,2026-02-21 17:35:39
9,1,101,60.0,202409,2026-02-21 17:35:39
10,2,102,61.5,202510,2026-02-21 17:35:39
11,3,103,63.0,202111,2026-02-21 17:35:39
12,4,104,64.5,202212,2026-02-21 17:35:39
13,5,101,66.0,202301,2026-02-21 17:35:39
14,6,102,64.0,202402,2026-02-21 17:35:39
15,7,103,65.5,202503,2026-02-21 17:35:39
16,8,104,67.0,202104,2026-02-21 17:35:39
17,1,101,68.5,202205,2026-02-21 17:35:39
18,2,102,70.0,202306,2026-02-21 17:35:39
19,3,103,71.5,202407,2026-02-21 17:35:39
20,4,104,73.0,202508,2026-02-21 17:35:39
21,5,101,71.0,202109,2026-02-21 17:35:39
22,6,102,72.5,202210,2026-02-21 17:35:39
23,7,103,74.0,202311,2026-02-21 17:35:39
24,8,104,75.5,202412,2026-02-21 17:35:39
25,1,101,77.0,202501,2026-02-21 17:35:39
26,2,102,78.5,202102,2026-02-21 17:35:39
27,3,103,80.0,202203,2026-02-21 17:35:39
28,4,104,78.0,202304,2026-02-21 17:35:39
29,5,101,79.5,202405,2026-02-21 17:35:39
30,6,102,81.0,202506,2026-02-21 17:35:39
31,7,103,82.5,202107,2026-02-21 17:35:39
32,8,104,84.0,202208,2026-02-21 17:35:39
33,1,101,85.5,202309,2026-02-21 17:35:39
34,2,102,87.0,202410,2026-02-21 17:35:39
35,3,103,85.0,202511,2026-02-21 17:35:39
36,4,104,86.5,202112,2026-02-21 17:35:39
37,5,101,88.0,202201,2026-02-21 17:35:39
38,6,102,89.5,202302,2026-02-21 17:35:39
39,7,103,91.0,202403,2026-02-21 17:35:39
40,8,104,92.5,202504,2026-02-21 17:35:39
41,1,101,94.0,202105,2026-02-21 17:35:39
42,2,102,92.0,202206,2026-02-21 17:35:39
43,3,103,93.5,202307,2026-02-21 17:35:39
44,4,104,95.0,202408,2026-02-21 17:35:39
45,5,101,51.5,202509,2026-02-21 17:35:39
46,6,102,53.0,202110,2026-02-21 17:35:39
47,7,103,54.5,202211,2026-02-21 17:35:39
48,8,104,56.0,202312,2026-02-21 17:35:39
49,1,101,54.0,202401,2026-02-21 17:35:39
50,2,102,55.5,202502,2026-02-21 17:35:39
51,3,103,57.0,202103,2026-02-21 17:35:39
52,4,104,58.5,202204,2026-02-21 17:35:39
53,5,101,60.0,202305,2026-02-21 17:35:39
54,6,102,61.5,202406,2026-02-21 17:35:39
55,7,103,63.0,202507,2026-02-21 17:35:39
56,8,104,61.0,202108,2026-02-21 17:35:39
57,1,101,62.5,202209,2026-02-21 17:35:39
58,2,102,64.0,202310,2026-02-21 17:35:39
59,3,103,65.5,202411,2026-02-21 17:35:39
60,4,104,67.0,202512,2026-02-21 17:35:39
61,5,101,68.5,202101,2026-02-21 17:35:39
62,6,102,70.0,202202,2026-02-21 17:35:39
63,7,103,68.0,202303,2026-02-21 17:35:39
64,8,104,69.5,202404,2026-02-21 17:35:39
65,1,101,71.0,202505,2026-02-21 17:35:39
66,2,102,72.5,202106,2026-02-21 17:35:39
67,3,103,74.0,202207,2026-02-21 17:35:39
68,4,104,75.5,202308,2026-02-21 17:35:39
69,5,101,77.0,202409,2026-02-21 17:35:39
70,6,102,75.0,202510,2026-02-21 17:35:39
71,7,103,76.5,202111,2026-02-21 17:35:39
72,8,104,78.0,202212,2026-02-21 17:35:39
73,1,101,79.5,202301,2026-02-21 17:35:39
74,2,102,81.0,202402,2026-02-21 17:35:39
75,3,103,82.5,202503,2026-02-21 17:35:39
76,4,104,84.0,202104,2026-02-21 17:35:39
77,5,101,82.0,202205,2026-02-21 17:35:39
78,6,102,83.5,202306,2026-02-21 17:35:39
79,7,103,85.0,202407,2026-02-21 17:35:39
